Hashtags,Comments,Source
,Kelan kaya project yan? Before Gov Dolor’s term?,Threads
,"Grabe wala na talaga masabi mga ordinary tao sa inyo, bahala na langit sa inyo.",Threads
,Buaya pa more,Threads
,"This dude is like it's my time to shine, ako uupo sa upuan niyo hindi ako magpapahuli katulad nito.",Threads
,paid troll spotted,Threads
,"Bakit kasi ngayon lang ang inspection, why not do it right after every project??? Wala ba yan sa SOP ninyo na inspeksyunin ang project after it's done?",Threads
,"I’ve been a part of the contractor team for a DPWH project. Dapat pag ganito, may inspection ang Engr nila to confirm yung length niyan. Kalsada lang ang project namin pero before magbuhos pinupuntahan nila to make sure tama ang thickness by checking the formworks.",Threads
,Wala nang staff o tauhan si DPWH secretary. Naubos yata dahil forced to resign dahil involved lahat sa graft and corruption? 😅,Threads
,"Sheet pile walls (lalo na kung walang tie-back anchorage system) must be embedded deep into the ground, depende yan sa geotechnical characteristics ng lupa. Kung 3m lang imbes na 12m, highly compromised ang structure! Madali itong mag-overturn dahil sa earth at hydrostatic pressures. Kapag malakas ang ulan at tumaas ang tubig, puwede talaga yan bumigay. Imbes na mag-function as flood protection, mas magiging source pa ng structural failure at panganib sa tao. Grabeee ang lala!",Threads
,ngayon lang mag gaganyan gov kung kelan tapos na,Threads
,"Grabe naman yan, billion ang project pero yung gamit na pang-measure tig-50 pesos",Threads
,dapat ikulong contractor nyan!!!,Threads
,Wow... iniimbestigahan na mga probinsiya.. ending sa Davao tapos turo sa Duterte.. ang galing galing naman ng style tlga ng mga magnanakaw lihis lihis agad..,Threads
,Bakit ngayon lang nag inspect diba dapat nuon pa. Kung hindi pa dahil sa flood corruption hindi mag inspect.,Threads
,"Grabe naman yan, billion ang project pero yung gamit na pang-measure tig-50 pesos",Threads
,Mabuhay ka Vince Dizon! Nasa likod mo ang mga Pilipinong UHAW sa tunay na lingkod bayan gaya mo!,Threads
,"Check nyo na lang din buong Pilipinas, for sure 2% of corruption pa lang na reveal hahaha",Threads
,Ano sinusukat ng Governor dyan? Kung magkano naman ma-kickback nya?,Threads
,Hindi uso ang laser meter????? Seryoso kayo??!!!!,Threads
,"Gusto nyo mabawasan korupsyon: mixed race (expat) sa mga government agencies. BIR, BOC, DPWH, BI, COMELEC, SEC.",Threads
,Nakabaon yang sheetpile. Huhugutin dapat yan para masukat.,Threads
,Syempre wala nanamang alam yung Mayor dyan.,Threads
,"Grabe kayo. Habang kami nagkakanda-kuba sa pagtatrabaho, super enjoy kayo sa mga buwis na ibinayad namin!!! KAUMAY KAYO!!!",Threads
,Malamang lahat ng flood control projects 3 meters lang ang sheet pile na ginagamit.,Threads
,Kaya matindi pa din ang baha dyan sa Naujan basta umulan e.,Threads
,Kakapal ng mukha nyo mga nag-project flood control kuno dyan. 3 meters lang nilagay nyo imbes na 12. Masisira at masisira talaga yan.,Threads
,May karma yan sa me gawa nito.,Threads
,Pati paggamit ng metro di marunong hahahhaa.,Threads
,"Sa bypass papuntang San Pascual Batangas, bagong gawang kalsada sinisira tapos ginagawa ulit! HAHAHAHA tibay ng mga kurap na opisyal ng gobyerno.",Threads
,LUBOG NA NGA!!!! Yan mga matagal nang politiko na ngayon mga anak-anak ginawa nilang negosyo ang pag-politiko. Nagmistulang mga slaves ang mga tao! Akala nila habangbuhay ang paghahari nila! Nakakaiyak!!!!,Threads
,"More of this. We don't need to raise cortisol levels reacting anymore, we need to document everything for when we exact justice....",Threads
